Date,Artist,Track,MinPlayed
2020-04-04 00:29,The Police,Walking On The Moon,0.00425
2020-04-04 00:29,R.E.M.,The One I Love - Remastered,0.043333333333333335
2020-04-04 00:29,Militantes del Climax,Jazz Funk,1.45705
2020-04-04 00:29,Arctic Monkeys,Do I Wanna Know?,0.01005
2020-04-04 00:29,Pink Floyd,Wish You Were Here,0.0030833333333333333
2020-04-04 00:29,Pink Floyd,Wish You Were Here,0.0027
2020-04-04 00:29,The Beatles,While My Guitar Gently Weeps - Remastered 2009,0.010433333333333333
2020-04-04 00:29,Cypress Hill,Insane in the Brain,0.013916666666666667
2020-04-04 00:29,Daft Punk,Digital Love,0.010833333333333334
2020-04-04 00:29,Pescado Rabioso,Las Habladurias del Mundo,0.011216666666666666
2020-04-04 00:34,The Police,Walking On The Moon,5.013766666666666
2020-04-04 00:40,Pink Floyd,Wish You Were Here,5.57905
2020-04-04 00:44,Pescado Rabioso,Las Habladurias del Mundo,4.054433333333333
2020-04-04 00:48,Sumo,La Rubia Tarada,0.022433333333333333
2020-04-04 00:48,Willy Crook,If You,3.8549166666666665
2020-04-04 00:51,Luis Alberto Spinetta,Te para Tres (En Vivo) (feat. Gustavo Cerati),3.2742166666666668
2020-04-04 00:52,Pink Floyd,Pigs on the Wing 1,1.4046666666666667
2020-04-04 00:57,Red Hot Chili Peppers,Encore,3.4109166666666666
2020-04-04 01:04,The Beatles,With A Little Help From My Friends - Remastered 2009,0.0178
2020-04-04 01:04,The Beatles,Hey Jude - Remastered 2009,0.0089
2020-04-04 01:04,The Beatles,I Am The Walrus - Remastered 2009,2.5952166666666665
2020-04-04 01:04,The Beatles,Doctor Robert - Remastered 2009,0.011216666666666666
2020-04-04 01:12,The Beatles,Hey Jude - Remastered 2009,7.188883333333333
2020-04-04 01:14,The Beatles,Doctor Robert - Remastered 2009,2.2377666666666665
2020-04-04 01:17,The Beatles,Lovely Rita - Remastered 2009,2.70155
2020-04-04 01:20,The Beatles,"Hello, Goodbye - Remastered 2009",3.4806666666666666
2020-04-04 01:23,The Beatles,Savoy Truffle - Remastered 2009,2.907766666666667
2020-04-04 01:25,The Beatles,"Here, There And Everywhere - Remastered 2009",0.8013
2020-04-04 17:29,La Casada (Acústico),La Casada (Acústico),0.5006166666666667
2020-04-04 17:29,Loco por volverla a ver (Acustico) - LPDA,Loco por volverla a ver (Acustico) - Las pastillas del abuelo,0.24746666666666667
2020-04-04 17:30,La Vela Puerca,Para No Verme Más,0.41741666666666666
2020-04-04 17:35,La Doctora II (Acústico),La Doctora II,5.335933333333333
2020-04-04 17:55,La Vela Puerca,Va A Escampar,4.692216666666667
2020-04-04 17:57,La Vela Puerca,El Viejo,2.0031
2020-04-04 18:15,Rhye,Feel Your Weight - Poolside Remix,5.1688833333333335
